# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 15 11:32:16 CEST 2025 [seed=1747301535910]
# LRV_Pos_VG_Assembllies_REFS.xml
state	country.rates.Bolivia.Brazil	country.rates.Bolivia.French Guiana	country.rates.Bolivia.Peru	country.rates.Bolivia.Suriname	country.rates.Bolivia.Venezuela	country.rates.Brazil.French Guiana	country.rates.Brazil.Peru	country.rates.Brazil.Suriname	country.rates.Brazil.Venezuela	country.rates.French Guiana.Peru	country.rates.French Guiana.Suriname	country.rates.French Guiana.Venezuela	country.rates.Peru.Suriname	country.rates.Peru.Venezuela	country.rates.Suriname.Venezuela	country.indicators.Bolivia.Brazil	country.indicators.Bolivia.French Guiana	country.indicators.Bolivia.Peru	country.indicators.Bolivia.Suriname	country.indicators.Bolivia.Venezuela	country.indicators.Brazil.French Guiana	country.indicators.Brazil.Peru	country.indicators.Brazil.Suriname	country.indicators.Brazil.Venezuela	country.indicators.French Guiana.Peru	country.indicators.French Guiana.Suriname	country.indicators.French Guiana.Venezuela	country.indicators.Peru.Suriname	country.indicators.Peru.Venezuela	country.indicators.Suriname.Venezuela	country.nonZeroRates
37000	1.9630529725615025	1.4302815995465696	1.8767358078177374	4.094058139260453	1.0168829229915608	2.023475196172065	0.6420800256262572	1.1299154281938317	0.5489582745603673	2.1396878102615684	0.5416554605323818	0.2630023629723434	2.8747360214094115	1.7041319992087232	1.380989233226759	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
38000	0.36988429904454656	2.6061745481907788	1.8224633903550713	4.81407314182118	0.26171665739576677	1.3905836394755777	0.7577238789387291	2.322237327138828	0.4071564166592326	1.5344689925530208	0.15882500371453717	0.3070496971173296	1.5514363033955674	0.7151482160541579	1.6828818844225621	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
39000	0.23944947141775097	0.9673126544045642	1.2731235946604833	0.895335501081377	0.8894967202372016	1.4852122023032137	1.3999597529074939	3.498369380214655	0.06078145328524663	3.500596328391732	0.40307836458342255	1.6252895325522507	1.1342343966379769	0.2644451005830254	1.0838829717530132	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
40000	0.4970963232620823	2.1447811820790026	2.0620381578065694	0.7607417716535809	0.5419435826063436	2.449001191173858	2.8539309766058976	3.078767063515728	0.015938846039379798	3.6761834332239314	0.5262832563612215	0.5608114083248931	2.6384183660033815	1.0673432185769958	0.6118938593566232	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
41000	2.0594871520837907	1.3210431063144272	1.8503674218188877	1.1347260252001259	1.0402379452842	1.8979734405473043	1.3572470139522923	0.7761033480685242	0.041883238941908846	2.110979833253857	0.8273446192350224	0.6057229324752549	2.987451480553775	2.137967094231327	0.43828274414024054	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	6.0
42000	1.0883496041136829	2.27927763565869	4.067593619863815	0.9770522390727504	1.3359889536768963	3.253441506797233	1.8649062521876536	0.3050765904196458	0.14690238784389678	4.14370920901652	1.1133285186761284	1.7084504595648906	2.6811832042354387	0.5704400332602354	0.2598598839421057	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
43000	1.4039428403361154	2.4876968482255557	0.9170368369048818	0.15121174312451346	0.9551790580207972	2.4370526000714583	0.8960202125608131	1.0704621736451856	0.06208782651384226	2.1452972203113108	0.9458574235435588	0.8096920085960291	0.8560738038965807	0.2711475544442697	0.07657672826432997	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	6.0
44000	3.8293493403843977	4.355701289170332	0.7739735564000213	0.5213939658016449	5.049544426659848	0.828667083638571	0.5806242494071145	1.0287290202219461	0.27392114881546703	1.7543459086334479	0.25655512881074916	0.9430646616579091	1.9512410170647572	0.6923268373525433	0.3417607664205807	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	6.0
45000	0.8428721640783323	0.3349667521575091	1.1728286541457067	0.7306649278296854	4.272639256573057	2.9163008646092665	1.5779495052635246	1.1377398102016454	0.2510344157955812	2.0682796038068623	0.09948149613339567	2.1821309674487512	0.5875902637935049	10.442479726707216	0.32068508813056806	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	6.0
46000	0.5103794637384576	1.5911274888701854	1.6217936051801953	1.4644485873898003	4.576182802465219	1.8602301105950967	1.2282432828998417	2.483648123966367	0.8022072438227816	3.113402599304402	0.3167987384869851	0.8140704601261456	1.297422263258624	0.8296739851653817	0.11338504125998003	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
